,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits
840,2007-03-30,Blades of Glory,61000000,118594548,145594548,2007,13,57594548,84594548
841,2015-09-18,Maze Runner: The Scorch Trials,61000000,81697192,310566162,2015,38,20697192,249566162
842,2013-08-02,2 Guns,61000000,75612460,132493015,2013,31,14612460,71493015
843,2018-01-26,Maze Runner: The Death Cure,61000000,58032443,265878536,2018,4,-2967557,204878536
844,2019-01-11,A Dog's Way Home,61000000,41952715,81153454,2019,2,-19047285,20153454
845,2016-02-19,Mei Ren Yu,60720000,3229457,554516671,2016,7,-57490543,493796671
846,2004-12-22,Meet the Fockers,60000000,279167575,516567575,2004,52,219167575,456567575
847,2014-02-07,The Lego Movie,60000000,257784718,457729388,2014,6,197784718,397729388
848,2007-03-09,300,60000000,210614939,454161935,2007,10,150614939,394161935
849,2007-03-02,Wild Hogs,60000000,168213584,253555383,2007,9,108213584,193555383
850,2008-12-25,Marley & Me,60000000,143153751,247812011,2008,52,83153751,187812011
853,2016-09-09,Sully,60000000,125070033,238524556,2016,36,65070033,178524556
854,2002-06-14,The Bourne Identity,60000000,121468960,214357371,2002,24,61468960,154357371
855,2009-10-09,Couples Retreat,60000000,109205660,172450423,2009,41,49205660,112450423
857,2003-05-30,The Italian Job,60000000,106126012,176262839,2003,22,46126012,116262839
858,2003-05-09,Daddy Day Care,60000000,104148781,164285587,2003,19,44148781,104285587
861,2004-08-06,Collateral,60000000,100170152,217670152,2004,32,40170152,157670152
862,2001-07-04,Cats & Dogs,60000000,93375151,200700000,2001,27,33375151,140700000
863,2002-12-20,Two Weeks Notice,60000000,93354918,199043309,2002,51,33354918,139043309
865,2002-04-19,The Scorpion King,60000000,90580000,165890634,2002,16,30580000,105890634
866,2010-10-15,Red,60000000,90380162,196439693,2010,41,30380162,136439693
867,2004-03-05,Starsky & Hutch,60000000,88200225,170200225,2004,10,28200225,110200225
869,2005-12-21,Cheaper by the Dozen 2,60000000,82571173,135015330,2005,51,22571173,75015330
870,2010-08-13,Eat Pray Love,60000000,80574010,206598789,2010,32,20574010,146598789
871,2012-12-21,Jack Reacher,60000000,80070736,217370736,2012,51,20070736,157370736
872,2004-04-23,Man on Fire,60000000,77906816,130968579,2004,17,17906816,70968579
874,2011-09-09,Contagion,60000000,75658097,137551594,2011,36,15658097,77551594
877,2009-02-06,Coraline,60000000,75286229,126037057,2009,6,15286229,66037057
878,2004-10-01,Ladder 49,60000000,74541707,102332848,2004,40,14541707,42332848
880,2009-10-28,Michael Jackson's This Is It,60000000,72091016,252091016,2009,44,12091016,192091016
881,2003-01-17,Kangaroo Jack,60000000,66723216,90723216,2003,3,6723216,30723216
882,2008-06-13,The Happening,60000000,64506874,162778384,2008,24,4506874,102778384
883,2016-03-04,London Has Fallen,60000000,62524260,195194085,2016,9,2524260,135194085
885,2006-03-10,The Shaggy Dog,60000000,61123569,87123569,2006,10,1123569,27123569
887,2004-04-02,Hellboy,60000000,59623958,99823958,2004,14,-376042,39823958
888,2016-10-21,Jack Reacher: Never Go Back,60000000,58697076,159946489,2016,42,-1302924,99946489
889,2017-05-25,Baywatch,60000000,58060186,175863783,2017,21,-1939814,115863783
891,2015-12-25,Joy,60000000,56451232,101134059,2015,52,-3548768,41134059
892,2012-08-17,ParaNorman,60000000,56003051,108119662,2012,33,-3996949,48119662
894,2003-12-25,Paycheck,60000000,53789313,98819789,2003,52,-6210687,38819789
896,2008-12-19,The Tale of Despereaux,60000000,50877145,90482317,2008,51,-9122855,30482317
897,2014-09-26,The Boxtrolls,60000000,50837305,111946251,2014,39,-9162695,51946251
898,2017-08-04,The Dark Tower,60000000,50701325,113461527,2017,31,-9298675,53461527
899,2002-09-27,The Tuxedo,60000000,50586000,104429625,2002,39,-9414000,44429625
900,2014-01-17,Jack Ryan: Shadow Recruit,60000000,50577412,131377412,2014,3,-9422588,71377412
902,2005-03-24,Miss Congeniality 2: Armed and Fabulous,60000000,48478006,101382396,2005,12,-11521994,41382396
903,2018-12-25,Vice,60000000,47836282,70883171,2018,52,-12163718,10883171
905,2007-03-23,Shooter,60000000,47003582,95538560,2007,12,-12996418,35538560
907,2013-01-11,Gangster Squad,60000000,46000903,104100903,2013,2,-13999097,44100903
908,2017-04-07,Smurfs: The Lost Village,60000000,45020282,197578586,2017,14,-14979718,137578586
909,2018-10-12,First Man,60000000,44936545,105212037,2018,41,-15063455,45212037
910,2009-06-19,Year One,60000000,43337279,57604723,2009,25,-16662721,-2395277
911,2010-01-29,Edge of Darkness,60000000,43313890,82812456,2010,4,-16686110,22812456
912,2002-12-13,Star Trek: Nemesis,60000000,43254409,67312826,2002,50,-16745591,7312826
913,2002-02-19,Reign of Fire,60000000,43061982,82150183,2002,8,-16938018,22150183
914,2009-11-20,Planet 51,60000000,42194060,108996113,2009,47,-17805940,48996113
915,2009-03-20,Duplicity,60000000,40572825,81079566,2009,12,-19427175,21079566
916,2008-09-12,Righteous Kill,60000000,40081410,78481410,2008,37,-19918590,18481410
917,2009-12-11,Invictus,60000000,37491364,124514011,2009,50,-22508636,64514011
918,2009-04-17,State of Play,60000000,37017955,88832210,2009,16,-22982045,28832210
920,2006-04-21,The Sentinel,60000000,36280697,78080697,2006,16,-23719303,18080697
921,2012-09-21,Trouble with the Curve,60000000,35763137,47818913,2012,38,-24236863,-12181087
922,2003-10-10,Intolerable Cruelty,60000000,35327628,121327628,2003,41,-24672372,61327628
926,2019-02-08,Cold Pursuit,60000000,32138862,62599159,2019,6,-27861138,2599159
927,2002-12-06,Analyze That,60000000,32122249,54994757,2002,49,-27877751,-5005243
928,2009-04-24,The Soloist,60000000,31853584,38522450,2009,17,-28146416,-21477550
929,2013-08-21,The Mortal Instruments: City of Bones,60000000,31165421,75965567,2013,34,-28834579,15965567
931,2002-02-22,Dragonfly,60000000,30063805,30063805,2002,8,-29936195,-29936195
932,2011-05-13,Priest,60000000,29136626,84154026,2011,19,-30863374,24154026
933,2006-06-16,Garfield: A Tail of Two Kitties,60000000,28426747,147985373,2006,24,-31573253,87985373
934,2005-04-29,XXX: State of the Union,60000000,26873932,71073932,2005,17,-33126068,11073932
936,2003-07-02,Sinbad: Legend of the Seven Seas,60000000,26483452,80767884,2003,27,-33516548,20767884
937,2005-07-08,Dark Water,60000000,25473093,49473093,2005,27,-34526907,-10526907
939,2006-09-15,The Black Dahlia,60000000,22672813,49238525,2006,37,-37327187,-10761475
941,2008-12-25,The Spirit,60000000,19806188,39006188,2008,52,-40193812,-20993812
942,2001-10-19,The Last Castle,60000000,18208078,20541668,2001,42,-41791922,-39458332
943,2009-01-23,Inkheart,60000000,17303424,66655938,2009,4,-42696576,6655938
945,2006-09-22,Flyboys,60000000,13090630,14816379,2006,38,-46909370,-45183621
946,2014-02-14,Winter's Tale,60000000,12600231,29575033,2014,7,-47399769,-30424967
948,2008-07-11,Meet Dave,60000000,11803254,50648806,2008,28,-48196746,-9351194
949,2005-08-12,The Great Raid,60000000,10166502,10597070,2005,32,-49833498,-49402930
950,2017-02-24,Rock Dog,60000000,9420546,24148488,2017,8,-50579454,-35851512
951,2015-01-23,Mortdecai,60000000,7696134,30396134,2015,4,-52303866,-29603866
952,2008-01-11,In the Name of the King: A Dungeon Siege Tale,60000000,4775656,13233220,2008,2,-55224344,-46766780
953,2003-10-24,Beyond Borders,60000000,4426297,11427090,2003,43,-55573703,-48572910
954,2016-02-05,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,60000000,709982,194058503,2016,5,-59290018,134058503
955,2015-12-11,The Ridiculous 6,60000000,0,0,2015,50,-60000000,-60000000
956,2019-11-08,Midway,59500000,0,0,2019,45,-59500000,-59500000
957,2018-03-23,Sherlock Gnomes,59000000,43242871,87527651,2018,12,-15757129,28527651
958,2019-01-25,The Kid Who Would Be King,59000000,16790790,28296983,2019,4,-42209210,-30703017
959,2016-02-12,Deadpool,58000000,363070709,801025593,2016,6,305070709,743025593
960,2014-12-25,American Sniper,58000000,350126372,547326372,2014,52,292126372,489326372
961,2015-10-16,Goosebumps,58000000,80069458,158905324,2015,42,22069458,100905324
964,2012-01-20,Red Tails,58000000,49876377,50365498,2012,3,-8123623,-7634502
965,2005-09-16,Just Like Heaven,58000000,48318130,100687083,2005,37,-9681870,42687083
966,2013-06-07,The Internship,58000000,44672764,93672764,2013,23,-13327236,35672764
968,2008-04-04,Leatherheads,58000000,31373938,41348628,2008,14,-26626062,-16651372
969,2017-03-24,Life,58000000,30234022,100929666,2017,12,-27765978,42929666
970,2009-12-18,Did You Hear About the Morgans?,58000000,29580087,80480566,2009,51,-28419913,22480566
971,2008-12-12,"Che, Part 1: The Argentine",58000000,1802521,31627370,2008,50,-56197479,-26372630
972,2008-05-30,Sex and the City,57500000,152647258,415247258,2008,22,95147258,357747258
973,2010-09-10,Resident Evil: Afterlife,57500000,60128566,295874190,2010,36,2628566,238374190
974,2012-06-15,That's My Boy,57500000,36931089,58085235,2012,24,-20568911,585235
976,2012-02-17,Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,2012,7,-5225998,92217355
978,2004-11-12,After the Sunset,57000000,28328132,38329114,2004,46,-28671868,-18670886
979,2001-08-17,Captain Corelli's Mandolin,57000000,25528495,62097495,2001,33,-31471505,5097495
980,2014-12-25,Into the Woods,56200000,128002372,213116401,2014,52,71802372,156916401
981,2003-04-11,Anger Management,56000000,135560942,195660942,2003,15,79560942,139660942
982,2005-03-04,The Pacifier,56000000,113006880,198006880,2005,9,57006880,142006880
983,2004-04-02,Walking Tall,56000000,46213824,47313824,2004,14,-9786176,-8686176
984,2016-01-22,Zhuo yao ji,56000000,32766,359495591,2016,3,-55967234,303495591
986,2007-12-14,Alvin and the Chipmunks,55000000,217326974,362605033,2007,50,162326974,307605033
987,2018-11-02,Bohemian Rhapsody,55000000,216303339,893777131,2018,44,161303339,838777131
988,2005-02-11,Hitch,55000000,177784257,366784257,2005,6,122784257,311784257
990,2006-12-15,The Pursuit of Happyness,55000000,162586036,307311093,2006,50,107586036,252311093
994,2017-02-10,Fifty Shades Darker,55000000,114434010,381398492,2017,6,59434010,326398492
995,2013-10-11,Captain Phillips,55000000,107136417,220648184,2013,41,52136417,165648184
997,2003-08-01,American Wedding,55000000,104354205,126425115,2003,31,49354205,71425115
998,2017-11-10,Murder on the Orient Express,55000000,102826543,345922730,2017,45,47826543,290922730
999,2014-09-26,The Equalizer,55000000,101530738,192903624,2014,39,46530738,137903624
