,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits
745,2014-01-10,The Legend of Hercules,70000000,18848538,58953319,2014,2,-51151462,-11046681
746,2007-04-27,Next,70000000,18211013,73591500,2007,17,-51788987,3591500
747,2002-09-20,Ballistic: Ecks vs. Sever,70000000,14294842,14294842,2002,38,-55705158,-55705158
748,2001-08-10,Osmosis Jones,70000000,13596911,13596911,2001,32,-56403089,-56403089
749,2014-05-09,Legends of Oz: Dorothy's Return,70000000,8462347,20107933,2014,19,-61537653,-49892067
750,2015-01-16,Blackhat,70000000,8005980,19665004,2015,3,-61994020,-50334996
751,2006-03-31,Basic Instinct 2,70000000,5946136,35417162,2006,13,-64053864,-34582838
752,2010-05-28,Agora,70000000,619423,38992292,2010,21,-69380577,-31007708
753,2010-07-09,Despicable Me,69000000,251513985,543464573,2010,27,182513985,474464573
754,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,2010,30,4026337,17796502
755,2018-03-02,Red Sparrow,69000000,46874505,145951861,2018,9,-22125495,76951861
756,2010-06-30,The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,26,232531751,638102828
757,2002-05-31,The Sum of All Fears,68000000,118471320,193500000,2002,22,50471320,125500000
758,2015-06-26,Ted 2,68000000,81476385,217214143,2015,26,13476385,149214143
759,2001-07-13,The Score,68000000,71069884,113542091,2001,28,3069884,45542091
760,2011-02-25,Hall Pass,68000000,45060734,87173475,2011,8,-22939266,19173475
762,2003-03-21,Dreamcatcher,68000000,33685268,75685268,2003,12,-34314732,7685268
765,2017-12-22,Downsizing,68000000,24449754,54462971,2017,51,-43550246,-13537029
766,2012-03-02,Doctor Seuss' The Lorax,67500000,214030500,350976753,2012,9,146530500,283476753
767,2008-10-10,Body of Lies,67500000,39394666,118556530,2008,41,-28105334,51056530
768,2012-06-22,Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,2012,25,-29980861,69989730
770,2007-08-17,The Last Legion,67000000,5932060,25357771,2007,33,-61067940,-41642229
773,2014-03-14,Need for Speed,66000000,43568507,194169619,2014,11,-22431493,128169619
776,2012-11-09,Lincoln,65000000,182207973,273346281,2012,45,117207973,208346281
777,2002-03-15,Ice Age,65000000,176387405,386116343,2002,11,111387405,321116343
780,2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000,167500092,527080347,2018,28,102500092,462080347
781,2012-12-25,Les Miserables,65000000,148809770,442169052,2012,52,83809770,377169052
782,2002-11-01,The Santa Clause 2,65000000,139225854,172825854,2002,44,74225854,107825854
