,Release Date,Movie,Budget,Domestic Gross,Worldwide Gross,Year,Week,Dom_Profits,WW_Profits,movie_name,genre,%ROI
45,2012-11-08,Skyfall,200000000,304360277,1110526981,2012,45,104360277,910526981,Skyfall,Action,0.521801385
46,2013-06-21,Monsters University,200000000,268488329,743588329,2013,25,68488329,543588329,Monsters University,Adventure,0.342441645
47,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2013,10,34770996,290359051,Oz the Great and Powerful,Adventure,0.17385498
48,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,2014,21,33921534,547862775,X-Men: Days of Future Past,Action,0.16960767
49,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,2014,18,2853933,508996336,The Amazing Spider-Man 2,Action,0.014269665
50,2011-06-24,Cars 2,200000000,191450875,560155383,2011,25,-8549125,360155383,Cars 2,Adventure,-0.042745625
51,2010-12-17,Tron: Legacy,200000000,172062763,400062763,2010,50,-27937237,200062763,Tron: Legacy,Adventure,-0.139686185
52,2009-11-13,2012,200000000,166112167,757677748,2009,46,-33887833,557677748,2012,Action,-0.169439165
53,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,2018,46,-40444099,452220086,Fantastic Beasts: The Crimes of Grindelwald,Adventure,-0.202220495
54,2009-05-21,Terminator Salvation,200000000,125322469,365491792,2009,21,-74677531,165491792,Terminator Salvation,Action,-0.373387655
55,2011-06-17,Green Lantern,200000000,116601172,219535492,2011,24,-83398828,19535492,Green Lantern,Action,-0.41699414
56,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,336359676,2010,21,-109240324,136359676,Prince of Persia: Sands of Time,Action,-0.54620162
57,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,26,157390543,928790543,Transformers: Dark of the Moon,Action,0.8071309897435898
58,2017-06-09,The Mummy,195000000,80101125,409953905,2017,23,-114898875,214953905,The Mummy,Adventure,-0.589225
59,2013-03-01,Jack the Giant Slayer,195000000,65187603,197687603,2013,9,-129812397,2687603,Jack the Giant Slayer,Adventure,-0.6657046
60,2015-04-03,Furious 7,190000000,353007020,1518722794,2015,14,163007020,1328722794,Furious 7,Action,0.8579316842105263
61,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2013,20,38778661,277381584,Star Trek Into Darkness,Adventure,0.20409821578947368
62,2013-06-21,World War Z,190000000,202359711,531514650,2013,25,12359711,341514650,World War Z,Action,0.06505111052631579
63,2013-05-10,The Great Gatsby,190000000,144840419,351040419,2013,19,-45159581,161040419,The Great Gatsby,Drama,-0.23768200526315789
64,2013-07-12,Pacific Rim,190000000,101802906,411002906,2013,28,-88197094,221002906,Pacific Rim,Action,-0.4641952315789474
65,2015-11-25,The Good Dinosaur,187500000,123087120,333771037,2015,48,-64412880,146271037,The Good Dinosaur,Adventure,-0.34353536
66,2008-05-02,Iron Man,186000000,318604126,585171547,2008,18,132604126,399171547,Iron Man,Adventure,0.7129254086021506
67,2008-07-18,The Dark Knight,185000000,533720947,1001996207,2008,29,348720947,816996207,The Dark Knight,Action,1.884978091891892
68,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,2008,21,132101119,601635413,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,0.7140601027027027
69,2012-06-22,Brave,185000000,237282182,554606532,2012,25,52282182,369606532,Brave,Adventure,0.2826063891891892
70,2017-03-10,Kong: Skull Island,185000000,168052812,561072059,2017,10,-16947188,376072059,Kong: Skull Island,Adventure,-0.09160642162162162
71,2016-07-22,Star Trek Beyond,185000000,158848340,335802233,2016,29,-26151660,150802233,Star Trek Beyond,Adventure,-0.14136032432432433
72,2017-10-06,Blade Runner 2049,185000000,92054159,259357408,2017,40,-92945841,74357408,Blade Runner 2049,Thriller/Suspense,-0.5024099513513514
73,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,44,135058289,666980024,Thor: Ragnarok,Action,0.7503238277777777
74,2014-05-30,Maleficent,180000000,241407328,758536735,2014,22,61407328,578536735,Maleficent,Adventure,0.34115182222222223
75,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,46,54037575,622402853,Fantastic Beasts and Where to Find Them,Adventure,0.30020875
76,2008-06-27,WALL-E,180000000,223808164,532508025,2008,26,43808164,352508025,WALL-E,Adventure,0.2433786888888889
77,2007-08-10,Rush Hour 3,180000000,140125968,256585882,2007,32,-39874032,76585882,Rush Hour 3,Action,-0.2215224
78,2016-07-01,The Legend of Tarzan,180000000,126643061,348902025,2016,26,-53356939,168902025,The Legend of Tarzan,Adventure,-0.2964274388888889
79,2011-11-23,Hugo,180000000,73864507,180047784,2011,47,-106135493,47784,Hugo,Adventure,-0.5896416277777777
80,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,2017,29,-139520630,35098356,Valerian and the City of a Thousand Planets,Adventure,-0.7751146111111111
81,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,2015,6,-131517481,2982519,Jupiter Ascending,Action,-0.7347345307262569
82,2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,2016,21,-22557511,364537546,X-Men: Apocalypse,Action,-0.12672758988764046
83,2018-08-10,The Meg,178000000,145443742,529530715,2018,32,-32556258,351530715,The Meg,Action,-0.18290032584269664
84,2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,2014,23,-77793744,192541256,Edge of Tomorrow,Action,-0.4370435056179775
85,2016-04-15,The Jungle Book,175000000,364001123,962854547,2016,15,189001123,787854547,The Jungle Book,Adventure,1.0800064171428572
86,2015-06-19,Inside Out,175000000,356461711,854235992,2015,25,181461711,679235992,Inside Out,Adventure,1.0369240628571428
87,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,27,159201140,705166350,Spider-Man: Homecoming,Action,0.9097208
88,2016-08-05,Suicide Squad,175000000,325100054,746059887,2016,31,150100054,571059887,Suicide Squad,Action,0.8577145942857143
89,2009-05-29,Up,175000000,293004164,731463377,2009,22,118004164,556463377,Up,Adventure,0.6743095085714286
90,2017-11-22,Coco,175000000,209726015,798008101,2017,47,34726015,623008101,Coco,Musical,0.19843437142857143
91,2018-11-21,Ralph Breaks The Internet,175000000,201091711,523480372,2018,47,26091711,348480372,Ralph Breaks The Internet,Adventure,0.14909549142857143
92,2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380,2009,13,23351526,206687380,Monsters vs. Aliens,Adventure,0.13343729142857144
93,2017-06-16,Cars 3,175000000,152901115,383541369,2017,24,-22098885,208541369,Cars 3,Adventure,-0.12627934285714285
94,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,2009,32,-24798502,127469017,G.I. Joe: The Rise of Cobra,Action,-0.14170572571428572
95,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,2008,31,-72508224,230760225,The Mummy: Tomb of the Dragon Emperor,Adventure,-0.41433270857142857
96,2007-06-22,Evan Almighty,175000000,100289690,174131329,2007,25,-74710310,-868671,Evan Almighty,Comedy,-0.42691605714285713
97,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,139630336,2017,19,-135824934,-35369664,King Arthur: Legend of the Sword,Adventure,-0.77614248
98,2013-12-25,47 Ronin,175000000,38362475,151716815,2013,52,-136637525,-23283185,47 Ronin,Action,-0.7807858571428572
99,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,25,247719760,1135772799,Jurassic World: Fallen Kingdom,Action,1.4571750588235295
100,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,31,163172112,600867516,Guardians of the Galaxy,Action,0.9598359529411765
101,2010-05-07,Iron Man 2,170000000,312433331,621156389,2010,18,142433331,451156389,Iron Man 2,Action,0.8378431235294118
102,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,2014,14,89746958,544401889,Captain America: The Winter Soldier,Action,0.5279232823529412
103,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,2014,28,38545589,540644566,Dawn of the Planet of the Apes,Adventure,0.22673875882352942
104,2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,2012,22,-14863245,231021746,Snow White and the Huntsman,Adventure,-0.08743085294117647
